cik,company_name,sic_code,sic_division,division_name,sic_major_group,major_group_name,sic_industry_group
0000021344,COCA COLA CO,2080,D,Manufacturing,20,Food & Kindred Products,208
0001114483,INTEGER HOLDINGS CORP,3845,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001111335,VISTEON CORP,3714,D,Manufacturing,37,Transportation Equipment,371
0001703056,ADT INC.,7381,I,Services,73,Business Services,738
0000105770,WEST PHARMACEUTICAL SERVICES INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000811596,KAISER ALUMINUM CORP,3350,D,Manufacturing,33,Primary Metal Industries,335
0001092699,SPS COMMERCE INC,7372,I,Services,73,Business Services,737
0000029905,DOVER CORP,3530,D,Manufacturing,35,Industrial Machinery & Equipment,353
0001413329,PHILIP MORRIS INTERNATIONAL INC.,2111,D,Manufacturing,21,Tobacco Products,211
0001318605,"TESLA, INC.",3711,D,Manufacturing,37,Transportation Equipment,371
0001561680,"TRI POINTE HOMES, INC.",1531,C,Construction,15,Building Construction,153
0000217346,TEXTRON INC,3720,D,Manufacturing,37,Transportation Equipment,372
0001575965,"GAMING & LEISURE PROPERTIES, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001003078,MSC INDUSTRIAL DIRECT CO INC,5084,F,Wholesale Trade,50,Wholesale Trade - Durable Goods,508
0001093557,DEXCOM INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000836157,LINDSAY CORP,3523,D,Manufacturing,35,Industrial Machinery & Equipment,352
0000016058,CACI INTERNATIONAL INC /DE/,7373,I,Services,73,Business Services,737
0001125376,"ENSIGN GROUP, INC",8051,I,Services,80,Health Services,805
0000923120,GREENBRIER COMPANIES INC,3743,D,Manufacturing,37,Transportation Equipment,374
0001157408,"STRIDE, INC.",8200,I,Services,82,Educational Services,820
0001701605,BAKER HUGHES CO,3533,D,Manufacturing,35,Industrial Machinery & Equipment,353
0001013857,PEGASYSTEMS INC,7374,I,Services,73,Business Services,737
0001728951,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000051644,"INTERPUBLIC GROUP OF COMPANIES, INC.",7311,I,Services,73,Business Services,731
0000200406,JOHNSON & JOHNSON,2834,D,Manufacturing,28,Chemicals & Allied Products,283
