adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed,quarter
0001193125-14-024487,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,us-gaap/2013,2012-12-31,1,USD,,,-66000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2012-12-31,1,USD,BusinessSegments=Europe;,,4409000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,ProceedsFromIssuanceOfCommonStock,us-gaap/2013,2012-12-31,1,USD,,,76000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=OperatingSegments;,,20434000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=CommercialPaper;,,0.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,2012-12-31,1,USD,,,113000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=CorporateDebtSecurities;,,50125000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USStatesAndPoliticalSubdivisions;,,1021000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,us-gaap/2013,2013-12-31,1,USD,,,-72000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=ForeignGovernmentDebtSecurities;,,5078000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,DeferredIncomeTaxExpenseBenefit,us-gaap/2013,2012-12-31,1,USD,,,1179000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,2013-12-31,1,USD,EquityComponents=AccumulatedNetGainLossFromDesignatedOrQualifyingCashFlowHedges;,,285000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,2013-12-31,0,USD,EquityComponents=AccumulatedNetGainLossFromDesignatedOrQualifyingCashFlowHedges;,,110000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncomeTaxExpenseBenefit,us-gaap/2013,2013-12-31,1,USD,,,4637000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NonoperatingIncomeExpense,us-gaap/2013,2012-12-31,1,USD,,,462000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2012-12-31,1,USD,BusinessSegments=GreaterChina;,,2544000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2012-12-31,1,USD,,,54512000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IntangibleAssetsNetExcludingGoodwill,us-gaap/2013,2013-09-30,0,USD,FiniteLivedIntangibleAssetsByMajorClass=DevelopedTechnologyRights;,,4079000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=MoneyMarketFunds;,,0.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,2013-12-31,1,USD,,,17709000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=CorporateDebtSecurities;,,7658000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CommonStockValue,us-gaap/2013,2013-12-31,0,USD,,,20559000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2013,2013-12-31,1,shares,,,896072000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2012-09-30,0,USD,,,10746000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USTreasurySecurities;,,19634000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=CommercialPaper;,,1163000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,LongTermDebt,us-gaap/2013,2013-12-31,0,USD,,,16961000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,ShareBasedCompensation,us-gaap/2013,2013-12-31,1,USD,,,681000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=Europe;,,4576000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USTreasurySecurities;,,7554000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=BankTimeDeposits;,,236000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,LiabilitiesAndStockholdersEquity,us-gaap/2013,2013-12-31,0,USD,,,225184000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USGovernmentAgenciesDebtSecurities;,,13249000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=Retail;,,6998000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2013,2013-12-31,1,shares,,,901452000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,22837000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,DeferredRevenueNoncurrent,us-gaap/2013,2013-09-30,0,USD,,,2625000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IntangibleAssetsNetExcludingGoodwill,us-gaap/2013,2013-12-31,0,USD,,,4105000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=AssetBackedSecurities;,,0.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,106215000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,1793000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=Retail;,,1744000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2012-12-31,1,USD,BusinessSegments=Retail;,,6441000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesNoncurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=CommercialPaper;,,99000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,ShareBasedCompensation,us-gaap/2013,2012-12-31,1,USD,IncomeStatementLocation=SellingGeneralAndAdministrativeExpenses;,,236000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
