adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2024,2022-09-30,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-11272000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CommercialPaper;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2024-09-30,4,USD,,,123216000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=GreaterChinaSegment;,,66952000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,1125000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2022-09-30,4,USD,BusinessSegments=RestOfAsiaPacificSegment;,,11569000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2022-09-30,4,USD,BusinessSegments=EuropeSegment;,,35233000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-09-30,4,USD,ProductOrService=Service;,,85200000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2024,2024-09-30,4,shares,,,15343783000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,,,31590000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2024,2023-09-30,4,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,11138000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USTreasurySecurities;,,4087000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ResearchAndDevelopmentExpense,us-gaap/2024,2022-09-30,4,USD,ConsolidationItems=MaterialReconcilingItems;,,26251000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2024,2023-09-30,4,shares,,,15744231000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,ProductOrService=Service;,,96169000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromRepaymentsOfCommercialPaper,us-gaap/2024,2022-09-30,4,USD,,,3955000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ShareBasedCompensation,us-gaap/2024,2022-09-30,4,USD,,,9038000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherLiabilitiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,,,45888000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2024,2023-09-30,4,USD,,,10959000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Dividends,us-gaap/2024,2023-09-30,4,USD,EquityComponents=RetainedEarnings;,,14996000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2024,2022-09-30,4,USD,AwardType=RestrictedStockUnitsRSU;,,6400000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,34611000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherLiabilitiesCurrent,us-gaap/2024,2024-09-30,0,USD,,,78304000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USStatesAndPoliticalSubdivisions;,,215000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherLiabilitiesCurrent,us-gaap/2024,2023-09-30,0,USD,,,58829000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2024,2024-09-30,4,USD,,,1308000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Assets,us-gaap/2024,2024-09-30,0,USD,,,364980000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,Geographical=CN;,,66952000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,Assets,us-gaap/2024,2023-09-30,0,USD,,,352583000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncomeTaxExpenseBenefit,us-gaap/2024,2023-09-30,4,USD,,,16741000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,SellingGeneralAndAdministrativeExpense,us-gaap/2024,2022-09-30,4,USD,,,25094000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,AssetsNoncurrent,us-gaap/2024,2024-09-30,0,USD,,,211993000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2023-09-30,4,USD,BusinessSegments=AmericasSegment;,,60508000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStocksIncludingAdditionalPaidInCapital,us-gaap/2024,2024-09-30,0,USD,,,83276000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MoneyMarketFunds;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,,,391035000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-09-30,4,USD,Geographical=CN;,,72559000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MutualFund;,,617000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2024,2024-09-30,0,USD,,,-7172000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,LiabilitiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,,,131638000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetIncomeLoss,us-gaap/2024,2023-09-30,4,USD,EquityComponents=RetainedEarnings;,,96995000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CommercialPaper;,,608000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,ProductOrService=Mac;,,29984000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,155000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStockSharesOutstanding,us-gaap/2024,2024-09-30,0,shares,,,15116786000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2024,2023-09-30,4,shares,,,15812547000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherComprehensiveIncomeLossDerivativeInstrumentGainLossafterReclassificationandTax,0000320193-24-000123,2024-09-30,4,USD,,,-2169000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,703000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInAccountsPayable,us-gaap/2024,2024-09-30,4,USD,,,6020000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FinancialInstrument=Cash;,,27199000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2024,2022-09-30,4,USD,,,-11272000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,,,35228000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-09-30,4,USD,ProductOrService=IPad;,,28300000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStockDividendsPerShareDeclared,us-gaap/2024,2024-09-30,4,USD,,,0.98,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=EuropeSegment;,,101328000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FinancialInstrument=Cash;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USStatesAndPoliticalSubdivisions;,,190000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CostOfGoodsAndServicesSold,us-gaap/2024,2022-09-30,4,USD,ProductOrService=Product;,,201471000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,us-gaap/2024,2022-09-30,4,USD,,,-12104000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2024-09-30,0,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,83276000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CommonStockSharesOutstanding,us-gaap/2024,2022-09-30,0,shares,EquityComponents=CommonStock;,,15943425000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2023-09-30,4,USD,BusinessSegments=GreaterChinaSegment;,,30328000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PropertyPlantAndEquipmentNet,us-gaap/2024,2023-09-30,0,USD,,,43715000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CommercialPaper;,,1038000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,LongTermDebtCurrent,us-gaap/2024,2023-09-30,0,USD,,,9822000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USTreasurySecurities;,,12611000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2022-09-30,0,USD,,,50672000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareDiluted,us-gaap/2024,2023-09-30,4,USD,,,6.13,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2022-09-30,4,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,1175000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-09-30,4,USD,BusinessSegments=EuropeSegment;,,94294000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInOtherOperatingAssets,us-gaap/2024,2023-09-30,4,USD,,,5684000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=AssetBackedSecurities;,,22089000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
