adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,NetIncomeLoss,us-gaap/2024,2022-09-30,4,USD,EquityComponents=RetainedEarnings;,,99803000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareBasic,us-gaap/2024,2023-09-30,4,USD,,,6.16,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,,,29943000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2023-09-30,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-11452000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,36000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=BankTimeDeposits;,,387000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=ForeignGovernmentDebtSecurities;,,1158000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2021-09-30,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,163000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CommercialPaper;,,28000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=CorporateDebtSecurities;,,26000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=BankTimeDeposits;,,1034000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=EquitySecurities;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USStatesAndPoliticalSubdivisions;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2021-09-30,0,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,57365000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2023-09-30,0,USD,,,62146000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
