cik,company_name,year_2014_chi_square,year_2014_p_value,year_2014_MAD,year_2014_KS_test,year_2015_chi_square,year_2015_p_value,year_2015_MAD,year_2015_KS_test,year_2016_chi_square,year_2016_p_value,year_2016_MAD,year_2016_KS_test,year_2017_chi_square,year_2017_p_value,year_2017_MAD,year_2017_KS_test,year_2018_chi_square,year_2018_p_value,year_2018_MAD,year_2018_KS_test,year_2019_chi_square,year_2019_p_value,year_2019_MAD,year_2019_KS_test,year_2020_chi_square,year_2020_p_value,year_2020_MAD,year_2020_KS_test,year_2021_chi_square,year_2021_p_value,year_2021_MAD,year_2021_KS_test,year_2022_chi_square,year_2022_p_value,year_2022_MAD,year_2022_KS_test,year_2023_chi_square,year_2023_p_value,year_2023_MAD,year_2023_KS_test,year_2024_chi_square,year_2024_p_value,year_2024_MAD,year_2024_KS_test
0000078814,PITNEY BOWES INC /DE/,70.0725,0.0,1.2926,0.8929,29.0472,0.0003,1.0565,0.8917,25.6456,0.0012,0.9777,0.9012,37.0339,0.0,1.1951,0.9039,28.541,0.0004,1.0413,0.9076,27.5558,0.0006,0.9479,0.9102,23.4777,0.0028,0.8172,0.9074,41.6234,0.0,0.8441,0.9121,23.4472,0.0028,0.9928,0.9007,25.8472,0.0011,1.1161,0.9069,32.5107,0.0001,1.236,0.9041
0000896156,ETHAN ALLEN INTERIORS INC,11.2363,0.1887,0.5951,0.9119,11.7131,0.1645,0.7809,0.9085,19.1696,0.014,1.2047,0.9097,21.2874,0.0064,1.0383,0.916,37.8012,0.0,1.5222,0.9159,50.7994,0.0,1.5767,0.9175,51.0694,0.0,1.7105,0.911,49.2413,0.0,1.6209,0.9127,77.5277,0.0,2.1797,0.9139,126.196,0.0,3.0346,0.9181,103.3976,0.0,2.704,0.9138
0000910406,HAIN CELESTIAL GROUP INC,39.6598,0.0,1.5791,0.9153,30.0361,0.0002,1.4481,0.9042,20.69,0.008,1.9336,0.9092,53.2259,0.0,1.4398,0.9024,45.5491,0.0,1.886,0.8981,43.5853,0.0,1.5743,0.9099,37.6984,0.0,1.3829,0.9055,22.4817,0.0041,1.2098,0.9006,35.9393,0.0,1.4863,0.891,54.6718,0.0,1.7267,0.9015,33.8571,0.0,1.2741,0.9024
0001404912,KKR & Co. Inc.,83.2714,0.0,1.9915,0.9037,61.1534,0.0,1.3718,0.9056,42.2929,0.0,0.9833,0.9107,25.3908,0.0013,0.7854,0.9076,22.5094,0.0041,0.6712,0.9078,66.3411,0.0,1.0432,0.9085,71.7529,0.0,1.4702,0.9087,70.3542,0.0,1.4458,0.9079,46.9523,0.0,1.0839,0.9159,23.2194,0.0031,0.6699,0.9087,36.9992,0.0,0.8519,0.9003
0000275880,PARSONS CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5637,0.0,1.7043,0.8756,55.7579,0.0,1.1579,0.8826,26.6222,0.0008,1.1133,0.9001,47.0506,0.0,1.5826,0.8949,20.1956,0.0096,1.077,0.8998,51.6913,0.0,1.6671,0.902
0001743759,"Corsair Gaming, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1679,0.014,2.0753,0.8997,57.8578,0.0,1.6684,0.8904,135.7251,0.0,2.3751,0.8564,109.2417,0.0,2.1979,0.882,82.2604,0.0,1.9067,0.9048
0000103379,V F CORP,46.8985,0.0,1.3598,0.8965,46.3947,0.0,1.3576,0.8929,37.2386,0.0,1.1121,0.8878,27.139,0.0007,0.818,0.8865,21.9227,0.0051,0.7684,0.8901,36.7622,0.0,0.9174,0.8888,15.9597,0.043,0.6243,0.8948,21.5611,0.0058,0.76,0.8931,38.0038,0.0,0.9721,0.8865,65.1748,0.0,1.3961,0.8785,45.6984,0.0,1.264,0.8838
0000834365,BIOLIFE SOLUTIONS INC,97.4907,0.0,2.0971,0.9131,33.7522,0.0,2.1163,0.9,19.8694,0.0108,1.5438,0.9064,43.6192,0.0,2.3144,0.9055,48.9424,0.0,2.0459,0.908,54.9221,0.0,2.1998,0.9076,53.5499,0.0,1.5329,0.9053,14.7824,0.0635,0.9551,0.9016,42.1051,0.0,1.2376,0.9083,48.9625,0.0,1.2047,0.9129,64.6665,0.0,1.6379,0.907
0000885245,BUCKLE INC,73.68,0.0,2.3095,0.8972,134.2194,0.0,2.6524,0.9054,80.8434,0.0,2.8311,0.8894,68.5424,0.0,1.9102,0.9039,67.5062,0.0,1.8433,0.9061,71.9242,0.0,1.9843,0.9111,110.2576,0.0,2.546,0.9027,124.1788,0.0,2.721,0.8982,61.1812,0.0,2.0914,0.9267,51.2744,0.0,1.8699,0.9241,77.8791,0.0,2.6642,0.9263
0001592386,"Virtu Financial, Inc.",0.0,0.0,0.0,0.0,95.4743,0.0,1.7999,0.8815,54.1014,0.0,1.2817,0.8779,45.9641,0.0,1.3828,0.9028,54.0123,0.0,1.0227,0.8845,83.198,0.0,1.226,0.8818,51.4569,0.0,0.9552,0.888,96.5309,0.0,1.5682,0.8912,66.996,0.0,1.4523,0.8889,121.3608,0.0,1.3915,0.8715,82.4131,0.0,1.5358,0.8861
