value,abs_value,first_digit
9289000000.0,9289000000.0,9
2895000000.0,2895000000.0,2
1800000.0,1800000.0,1
24.09,24.09,2
4354000000.0,4354000000.0,4
13593000000.0,13593000000.0,1
8310000000.0,8310000000.0,8
2129000000.0,2129000000.0,2
-42000000.0,42000000.0,4
10000000.0,10000000.0,1
7641000000.0,7641000000.0,7
98115000000.0,98115000000.0,9
3358000000.0,3358000000.0,3
5445000000.0,5445000000.0,5
18949000000.0,18949000000.0,1
39000000.0,39000000.0,3
235000000.0,235000000.0,2
26.31,26.31,2
205989000000.0,205989000000.0,2
899213.0,899213.0,8
-59000000.0,59000000.0,5
5369000000.0,5369000000.0,5
219000000.0,219000000.0,2
454000000.0,454000000.0,4
36208000000.0,36208000000.0,3
1277000000.0,1277000000.0,1
45646000000.0,45646000000.0,4
2787000000.0,2787000000.0,2
3791000000.0,3791000000.0,3
696000000.0,696000000.0,6
13102000000.0,13102000000.0,1
11682000000.0,11682000000.0,1
-105000000.0,105000000.0,1
87000000.0,87000000.0,8
43208000000.0,43208000000.0,4
2227000000.0,2227000000.0,2
31056000000.0,31056000000.0,3
5433000000.0,5433000000.0,5
3.05,3.05,3
70541000000.0,70541000000.0,7
10223000000.0,10223000000.0,1
-191000000.0,191000000.0,1
-1419000000.0,1419000000.0,1
13249000000.0,13249000000.0,1
771000000.0,771000000.0,7
3850000000.0,3850000000.0,3
12699000000.0,12699000000.0,1
499000000.0,499000000.0,4
8232000000.0,8232000000.0,8
15043000000.0,15043000000.0,1
-118000000.0,118000000.0,1
30577000000.0,30577000000.0,3
10.16,10.16,1
-6745000000.0,6745000000.0,6
-12000000.0,12000000.0,1
2369000000.0,2369000000.0,2
3307000000.0,3307000000.0,3
13856000000.0,13856000000.0,1
352000000.0,352000000.0,3
90360000000.0,90360000000.0,9
10746000000.0,10746000000.0,1
14052000000.0,14052000000.0,1
4179000000.0,4179000000.0,4
16349000000.0,16349000000.0,1
430000000.0,430000000.0,4
-86000000.0,86000000.0,8
839000000.0,839000000.0,8
120179000000.0,120179000000.0,1
-3401000000.0,3401000000.0,3
-122000000.0,122000000.0,1
27254000000.0,27254000000.0,2
-3846000000.0,3846000000.0,3
431000000.0,431000000.0,4
22264000000.0,22264000000.0,2
17947000000.0,17947000000.0,1
-86000000.0,86000000.0,8
3802000000.0,3802000000.0,3
4000000.0,4000000.0,4
575000000.0,575000000.0,5
236000000.0,236000000.0,2
1414000000.0,1414000000.0,1
9243000000.0,9243000000.0,9
5227000000.0,5227000000.0,5
2627000000.0,2627000000.0,2
5106000000.0,5106000000.0,5
5512000000.0,5512000000.0,5
-191000000.0,191000000.0,1
3524000000.0,3524000000.0,3
502000000.0,502000000.0,5
10869000000.0,10869000000.0,1
1793000000.0,1793000000.0,1
46532000000.0,46532000000.0,4
899213.0,899213.0,8
104000000.0,104000000.0,1
9899000000.0,9899000000.0,9
6120000000.0,6120000000.0,6
63447000000.0,63447000000.0,6
39793000000.0,39793000000.0,3
757000000.0,757000000.0,7
3658000000.0,3658000000.0,3
7435000000.0,7435000000.0,7
12905000000.0,12905000000.0,1
17827000000.0,17827000000.0,1
8705000000.0,8705000000.0,8
1377000000.0,1377000000.0,1
5849000000.0,5849000000.0,5
23303000000.0,23303000000.0,2
35930000000.0,35930000000.0,3
22485000000.0,22485000000.0,2
1359000000.0,1359000000.0,1
22625000000.0,22625000000.0,2
14259000000.0,14259000000.0,1
21496000000.0,21496000000.0,2
